gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ServiceBundleCount,ChargePerMonth
0,0,1,0,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,1,2,-1.1603229160349193,-0.9926105235902257,0,-1.145996840374596,-1.1565293398732919
1,0,0,0,0.06632741908223598,1,0,0,2,0,2,0,0,0,1,0,3,-0.2596289419448806,-0.17216470898960817,0,-0.176010571085054,-0.30440844908293185
1,0,0,0,-1.2367242199587352,1,0,0,2,2,0,0,0,0,0,1,3,-0.3626603559551803,-0.9580659010627455,1,-0.176010571085054,-0.3540489240266418
1,0,0,0,0.5142514200025698,0,1,0,2,0,2,2,0,0,1,0,0,-0.7465354629935549,-0.1936723762720431,0,-0.176010571085054,-0.7903016073804966
0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.19736523310080326,-0.9388744441030343,1,-1.145996840374596,0.3664443285910935
0,0,0,0,-0.9924020376385531,1,2,1,0,0,2,0,2,2,0,1,2,1.1595456961969886,-0.6437892489880273,1,0.7939756982044881,1.2521541374125509
1,0,0,1,-0.4223169455581282,1,2,1,0,2,0,0,2,0,0,1,1,0.8089065291619363,-0.14573785216462656,0,0.30898256355971704,0.7899317419635867
0,0,0,0,-0.9109613101984924,0,1,0,2,0,0,0,0,0,0,0,3,-1.1636465100352518,-0.8725867105812734,0,-1.145996840374596,-1.1452664568438653
0,0,1,0,-0.1779947632379461,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787214099,0.33808539553347106,1,1.278968832849259,1.4583642752307304
1,0,0,1,1.2064976032430856,1,0,0,2,2,0,0,0,0,1,0,0,-0.28621769394753876,0.5330441272690194,0,-0.176010571085054,-0.2817591672011472
1,0,1,1,-0.7888002190384014,1,0,0,2,0,0,0,0,0,0,1,3,-0.4922805219681379,-0.7466069281710316,0,-0.661003705729825,-0.6484255217584327
1,0,0,0,-0.6666391278783103,1,0,2,1,1,1,1,1,1,2,0,1,-1.5225946620711341,-0.8616012559077836,0,-1.145996840374596,-1.4687430826743106
1,0,1,0,1.0436161483629645,1,2,1,0,0,2,0,2,2,1,0,1,1.182810854199314,1.5006244452274227,0,0.7939756982044881,1.0993598786677552
1,0,0,0,0.6771328748826912,1,2,1,0,2,2,0,2,2,0,1,0,1.2941512532104444,1.2161496993050833,1,1.278968832849259,1.259413153410658
1,0,0,0,-0.30015585439803716,1,0,1,2,0,2,2,2,2,0,1,2,1.3539759452164248,0.17925954483241316,0,1.278968832849259,1.4137930719481022
0,0,1,1,1.4915401492832983,1,2,1,2,2,2,2,2,2,2,0,1,1.611554480242174,2.4774254861848592,0,2.248955102138801,1.6450287981582217
0,0,0,0,0.7992939660427822,1,0,2,1,1,1,1,1,1,1,0,3,-1.4660935640654862,-0.5544717671146129,0,-1.145996840374596,-1.493683233726463
1,0,0,1,1.5729808767233588,1,2,1,2,0,2,0,2,2,2,0,0,1.393859073220412,2.251142767227713,0,1.278968832849259,1.2989564553035768
0,0,1,1,-0.9109613101984924,1,0,0,0,0,2,2,0,0,0,0,1,-0.31779183695069496,-0.7726808386611219,1,-0.176010571085054,-0.39512532095749203
0,0,0,0,-0.46303730927815856,1,0,1,0,2,2,0,0,2,0,1,2,0.8404806721650927,-0.18390017462474187,0,0.30898256355971704,0.7932586949338276
1,1,0,0,-1.2774445836787656,0,1,0,0,0,2,0,0,2,0,1,2,-0.8346107040023594,-0.988286930987808,1,-0.661003705729825,-0.8318932996133468
1,0,1,0,-0.8295205827584317,1,0,2,1,1,1,1,1,1,1,0,0,-1.4943441130683104,-0.9165505884211634,0,-1.145996840374596,-1.5870309595887546
1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.4827115340671475,-0.9968899979007819,1,-1.145996840374596,-1.4778527674775233
0,0,1,0,1.0436161483629645,1,2,0,0,2,0,2,0,0,2,1,1,-0.1615829189350795,0.5406104143232504,0,0.30898256355971704,-0.143441007337946
1,0,1,1,0.6771328748826912,1,0,0,2,2,0,2,0,0,0,0,1,-0.17155370093607614,0.3046657894484568,0,0.30898256355971704,-0.13729250918210834
0,0,0,0,-0.0965540357978854,1,0,0,2,2,0,0,0,0,0,1,0,-0.31446824295036285,-0.33050525848019063,0,-0.176010571085054,-0.4552492406586963
1,0,1,1,0.5956921474426305,1,2,1,0,2,0,0,2,2,0,1,2,1.1495749141959914,1.0894640242250588,1,0.7939756982044881,1.2019099087542118
1,0,1,1,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,0,2,-1.1486903370337564,-0.9924561095687108,1,-1.145996840374596,-1.1449351955782938
1,0,1,0,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,1,1,0.8471278601657574,1.8043127072554035,0,2.248955102138801,0.7851447657205763
0,0,0,1,-0.62591876415828,1,0,0,0,0,0,0,2,2,0,1,3,-0.0020504069191315333,-0.5235227853738373,1,-0.176010571085054,-0.015334279979913538
0,1,1,0,1.5729808767233588,1,2,1,2,2,2,2,0,0,2,1,1,1.0498670941860242,1.9796829174044883,0,1.278968832849259,1.011878910647146
